10C 8C 9S 6S 3H 3S JD ,    Pair
10C 9H 4H 8D QD JS KC ,    High Card
8H 9C 3H KH 8C AC 7H ,    High Card
QS 8C KS 10S KH AC 9S ,    Pair
4D 6S 2C JH 4C 4S QH ,    Pair
5C QD 3H AH JC 3S 8S ,    High Card
8D 7C 10D 7S 9D 8H 10C ,    Pair
10H AH 6H 2S 7H 4S QC ,    High Card
6D 4H 7D 5D AS JC 8C ,    Straight
9C 5H 7C KS 9S 2H 10C ,    High Card
QC 10D 7C JC QS 9D AH ,    High Card
3H 6C KD 6S 4D 5C JD ,    High Card
8D 8H 2S 3D 8C 3C 2H ,    Pair
7H 9S 6H AH JC QC 7D ,    High Card
JH QD 9H 9D 6D AC QS ,    Pair
QH 6C 5C QD KH JD 8H ,    High Card
QS 7H 4C 10H 7D 4S 5H ,    High Card
JC 8C 5S 2D 2S JH 10D ,    Pair
7H 8S 2D 7C AS KC 9C ,    High Card
3C 3D 6C 3S 6H 8C 8H ,    Two Pair
JD 9S 7S 10C 9H QH 10S ,    High Card
QS 9D JC 2H 6D QD 4D ,    High Card
7H 3C AC 2S 2H JD 2D ,    Pair
KS 2C 4C 4S 10C 9S JC ,    Pair
8D 3S 6S 10H 5S 8C AS ,    High Card
7D QD 9C 4S 9H 9D 6D ,    Pair
10S 3S 5H AD 3C AC 10D ,    High Card
3H JD 2S 4C 2C 10H 8S ,    High Card
QS JS 7H KC QC 4H 8H ,    High Card
JH KS 5H 3D 7H 6S JC ,    High Card
10D JS 8C 2C 10S 9H 10H ,    High Card
KH QD 5S KD 7C 5D 7S ,    High Card
10C 9C 6H 7D 9D AS 6S ,    High Card
JD JH 3H 3C 8D 4H 3D ,    Two Pair
JC 6C QS 10S AD KH 7C ,    High Card
AH 8C JS 5D 8S 8H KC ,    Pair
AD 8H JD AS 8S KH 9H ,    High Card
JS 2D 4H 8D AC 6S 10H ,    High Card
2H QH 9C 5D 6C 9S KS ,    High Card
10D QD JH 7D 7S 2S 8S ,    Pair
AH KH 5H 10H 6D 9C 7H ,    High Card
KD 9H 8H 9D 4S 3S AC ,    High Card
10S 6C 4C 4D 9S JC QH ,    Pair
10C KC 8H 6C 4H KH 2H ,    High Card
10H KS 7S AS 8C 7H 5D ,    High Card
AH 3S QD 2C 5S 3H AD ,    High Card
5S AS 8S 6C JH QH 8H ,    High Card
2H 2S 4S QS AC 5H QC ,    Pair
7C KH 5C 2C 10H 4H KD ,    High Card
3C JD JC AD 8C 10S 7S ,    Pair
10D 7S KD KH JC 3D 3C ,    Two Pair
JS 6H 4S QD 8S QH 2D ,    High Card
10C 10H 5H 5C 8C QC 9S ,    Pair
KH 10H 10C 3H 7D QS 10S ,    High Card
3D JD KD 7S 9D 2D 3C ,    Flush
7C QD 2C 4D AS 6S 9H ,    High Card
4S 5C 6H AC 2S 8H 8D ,    High Card
JC 2D KC 6H AD 3S QD ,    High Card
3C 9H 4C JD 9S 8S 10S ,    High Card
10H 7D 2S KS 7H 7C 5S ,    Pair
KD KC 3H 10H AH 8S 8C ,    Two Pair
8S 5D 9C 2D 7D 5H 10S ,    High Card
JC QC AC JD 7S JS 9D ,    High Card
KC 7H 6D 8D 8C 2C 9S ,    Pair
5C 3C 10H 10D 3S 4S 4C ,    Two Pair
10D 10C 7S JD AH AC QS ,    Pair
2D 9C QD 6H KH 6C KD ,    High Card
7C JS 8D 4S 5D 9S 8S ,    High Card
KC QH 9C JH 6C 3C 5D ,    High Card
AH 8S 10H QS AD JD 5H ,    High Card
3D 4H 9D KH 9H 8H 6H ,    High Card
4S 7S 2H 6D 8D 6S 4D ,    High Card
8H QH QS JS 4C JD 6S ,    Pair
5D 3S 3D 6H 7C 5C KS ,    Pair
3C 8S 10C 9D AD AC KC ,    Pair
8H 8D 8C 5S JD 9C JS ,    Three Kind
10D KS KC AH 5D 10H 2D ,    Pair
3S 6H 7H AD 10S QD 4S ,    High Card
KD 8S JH 2S 5H 9S 5C ,    High Card
3C 4H JD 10H QC 10S 2D ,    High Card
6H QS 6S 7C QD 8S 6D ,    Pair
7S 4C JS 3S 7D QH 9H ,    High Card
8D 10S 2D AH 10D AC 7H ,    Pair
AS KH QC 4H 2C JC 6D ,    High Card
3D 8H 10H 5H QD 9S JH ,    High Card
3C 3S JS 7S AD QS 6C ,    Pair
KS 8H KC 6S 10D 6D 4H ,    Two Pair
4D 2S 9D JC 9C 3H 8S ,    High Card
7C QH 10S 4C 7D AS 2H ,    High Card
2C 4S QC 6H AC 2H 10D ,    High Card
3S KD 2S 4C 7C KS KC ,    High Card
KH 6D 10S QS JC 10H 3H ,    High Card
8C 4H AS JH AH QD 8H ,    High Card
8D 10D 5H 5D KC QD QH ,    Two Pair
QC AS 7S 9C 8C 3D 4C ,    High Card
3C 6H KH KS 7H 8S 10C ,    Pair
7D 7H 8D 2S 7S AC 4S ,    Pair
5D 6S KH 9C 4D QD 8C ,    High Card
6D 5C JC JD 6H 8S AD ,    Pair
JH KS 10C AH KD 7C QC ,    High Card
2D 8H 8D 3D 10S QH AS ,    Pair
10H 5D QC QD JD 9C 2C ,    Pair
7C JS JC 10D 5H 10C KH ,    Pair
9D JD 2S 2C KS 9C 4S ,    Pair
9H 7S QS AC JS 5S 4D ,    High Card
5H 4C 7C 4H AH KH 10D ,    High Card
3D 6D JH 7D 3H 8S JC ,    High Card
10H 10C 8H 2C 7H 2D 5H ,    High Card
6C 6H AD 5D 3C KS 9D ,    Pair
4S AH 3S 9C 3H 4D JD ,    High Card
7H 10D 6C 3H 8D AC 3S ,    High Card
AS AD 9C KD KC 9D 3D ,    Two Pair
JH JS 9H 5H 6C 8S 2H ,    Pair
JD 4H 5S 10S 4D 7H 10D ,    High Card
10H QC 5C AH AC 2S QS ,    Pair
JS AS QH 8C JC 3C 3S ,    High Card
QD JH 4H 4C 10C 2C 9H ,    Pair
9D 5S 7H QS 8H AD 2H ,    High Card
4H KH AC 10D QD 2H 2S ,    High Card
5C 6D 9S 9D 7S 3H AD ,    Pair
10H QH JC 3S 3D JD KS ,    Pair
QC 9C AH 8S 7H KD 10C ,    High Card
KD 2C 6H 9C 10H QD JS ,    High Card
AD AH 2S 4S 6S KS QC ,    Pair
4D AS JC 3D 7C 7H 3C ,    Pair
2D 3C QC 9D 5D 8S 5S ,    High Card
QH 6D KC AC 9S 4H 10S ,    High Card
7C AH QD 6S JH JS 4S ,    Pair
3S AD KS 5C 2H 10D 8D ,    High Card
3H JH KC 7D 10D 2H 4S ,    High Card
QH 6C 6H AH 9S 4H 5H ,    Pair
JD KD 7S AC 5S 5D 7C ,    Pair
10C JS 3S 5S 8C 3C 10H ,    High Card
7D KC 5D 7S 9S 2H 3H ,    High Card
AC QC KS 2C 9D QS 2D ,    High Card
JC 4C 9H AS 5C 6D 6H ,    High Card
3S KS 7C 3C 8D 9D JD ,    High Card
9C AS 2C 8C QS 4D QH ,    High Card
2H 10C 6H 7S 10H 5S 4C ,    High Card
3C JH KH 4S 6S 3S JC ,    High Card
AH 5C 8H 4H KS 5H 2S ,    High Card
9C QS KC 2H 10S 5D 8S ,    High Card
4C 7H 8D 2C JD 8C 9H ,    High Card
5C 3H 9C 7D 10S 10C JH ,    High Card
9S AC 4H 5S 7S 2C JD ,    High Card
3C 6C 8C 2D 4S KC 6D ,    High Card
9H 5C AD 5S 8S AC 10C ,    High Card
10H 2D AH 7D 4D 8C 2S ,    High Card
5D KH 5H 8H 9D 9C 6S ,    Two Pair
KS QD 7S 4S 4C 6H KD ,    Pair
10C 10S 5C 8C 10D 7H 3C ,    High Card
AD 7C 2H 8H 6D 4H 5D ,    Straight
2D 3D JC KS AH 9D 3H ,    High Card
6D JH 5D AD AS 3D 2C ,    Pair
5S 2D 2S 9S QS KC 4D ,    Pair
4H 6C QH 6S AC 5H 2H ,    High Card
7C 10D 8H 8S 3C 3S 8C ,    Two Pair
8S 2S 3H QS AC JD 7C ,    High Card
QD KD 6H 3C JH 9D 2C ,    High Card
4C 7D AH 8D 10C 2D 9C ,    High Card
AH 2H 5H QC 8C 3S 6C ,    High Card
AC 9S AD 10C 5S 8C 4S ,    Pair
3H JH KC 10H 9C QC 9H ,    High Card
9D 6D 8H 5D 5H 4C AS ,    Pair
JS 3S 7S 2D 10S QD 2C ,    High Card
10H JH 7S AS JC 4C 4H ,    High Card
KH KC 7D KS 5D 6H JD ,    Pair
9C AC QD QH 10S 10D JS ,    Pair
QD KD 8H 10H 10S 3H QC ,    High Card
5C 8C AH AC 6C 4D 7D ,    Straight
JS 10D 10C 6D 2S 2D KC ,    Pair
5S QH 3S 7H JH 4C 9D ,    High Card
3S 6S 6C 6D 3H 9D 4S ,    Pair
9C 7D 3C 2C AD 8C 3D ,    High Card
QH QC 5H 4C AH 5S 10D ,    Pair
QH 3S KH 5D 8S KS JS ,    High Card
5S AD 7D QC 2D KC 6S ,    High Card
JD 9D 7C 8H 3H AH 6H ,    High Card
9S QD 10C 3D QS 5H 7H ,    High Card
2H JS 9D 4D JH 7D QD ,    High Card
6C 5C 8D 3C AC 9S 5H ,    High Card
4S 7H QC 2S 4H QS JC ,    High Card
AH 3D 4D 9D 8D 4H JS ,    High Card
10C AC 3S KS JH 2S 4S ,    High Card
QH 8H 10S 3C 7H 2H 5H ,    High Card
4C 8C 10H QC 9S 9C 6H ,    Pair
5S 5H 7C 6S 9S KD 2S ,    Pair
8D 4D 3C AD 4C 2C 7S ,    High Card
9H 5C JS 7D 4H KS 5D ,    High Card
9H 8D 5S 8S JS KS 7H ,    High Card
10C 5C 4S 2C 4C 3H AS ,    High Card
2D KD 2S 8H 7C 9S KH ,    Pair
AC 2H 5D 4D 6H 5H QH ,    High Card
7H KH 4H 3C 9H 9S 8S ,    Pair
9D 2D 6D 10D 2S 5S 8H ,    High Card
QC QH QD 10S KD 5C 7S ,    Three Kind
KD KC KS AC 2H 6H 4H ,    Three Kind
QD JD 7D 5S JS 10H AS ,    High Card
3S 2D JC QH 9S 9C 7H ,    Pair
4C 10D AD 3C 9H 10S 2S ,    High Card
JC 6D 4H 8D 7C AH 7D ,    High Card
5S KS 6H 5H 3D 4C 10H ,    High Card
9D KD 6C 2C 2S 5D JH ,    Pair
KC 10D 5H 9C QC 9H 3C ,    High Card
10H 8D KS 5C 2C 6C AS ,    High Card
KH 2D 2H 6H QD 7C AH ,    Pair
JC 7D JS QS 8H 5S 6D ,    Pair
10C QS 4C KH 8D 4S 2S ,    High Card
6D 6S 5C 8H 7C 9D KS ,    Straight
10S 10D 3S 9H 3C 2D KD ,    High Card
AC JC 5C 6D 2H 9S QC ,    High Card
KH 7S 6H JH KS QD 3S ,    High Card
5S 10C 8C 9C 6S 6C 4S ,    Pair
5C AS 5D 8H 9S 5H 4D ,    Pair
2D 2H AH 4H 10H 6D 7D ,    Pair
5H 10H 2H 2S 4D 5S 5D ,    Two Pair
8S 2C AH 9C 3H 6C 7S ,    High Card
AD JC 8C JD 4H 8H 9D ,    High Card
5D 9D 10S 5H 2C 8H AD ,    Pair
KC 5S JC 4C 7D AC 2H ,    High Card
JH 7S 9C 8S 10C 7H 8C ,    High Card
2S 2D 6C 3S 6H JD AS ,    Pair
9D 4S KS 9H 10C 3D 2D ,    High Card
4C 8C QH AD AS AC 10D ,    Pair
2C 5C 6C 8H 7H 6D 10S ,    High Card
10H 10C 8H JS AS 10D 5S ,    High Card
AD QS JC QD KC 9H 8S ,    High Card
9C 5D 4D QC 6H 7D 8D ,    Straight
2D 7C 3S 6D QH 2H KH ,    High Card
5H 2S 10D QH 3C KS 6S ,    High Card
3S AC 2H 6C 6D 3H 4H ,    Pair
8C 9D 9C QD 4D 9H 4C ,    Pair
QC 10C 5S 7D KD 8D 7S ,    High Card
QD 2D 5H JD AC KS 9H ,    High Card
JH 9S 4H 9C 6C QS KH ,    High Card
6H AD 8S 3H 8C JC 10H ,    High Card
KH 6C 10C QS AS 9H 3S ,    High Card
2H JH 10D 10H 10S AC 6H ,    High Card
5S 9C KS JC 8H QC 4D ,    High Card
6S AC 10S 7D AD 6C 7H ,    High Card
3C 3D 4H 10C 8H 2D KH ,    Pair
3H JH QS 4D KS QC KC ,    High Card
8S AH 9H 4S 9D 9C 2H ,    Pair
6D 5D 3S 2S 5C 7C KD ,    High Card
10H 9H 2C 2D KS JC 7S ,    Pair
QS JD 3H 7D AH 6H 4D ,    High Card
KS 3D 6S 2D 8S QS 7C ,    High Card
JD 2H 8H QC 5D AC 3H ,    High Card
5C AS 10C 7D 6C 2C 4S ,    High Card
6D 9C 10H 8D JC KH 3C ,    High Card
7H 8H QD 10C 5H 2D 4C ,    High Card
JD 6H 6S 8C 5C 3S 3H ,    Two Pair
7S AC 7C 8D 5S AH 8S ,    Pair
JS QD 5S 9D KC 8S 2S ,    High Card
3C 5C 9H 7H AC 9C 5H ,    High Card
6C 8C 4D KS 6D 3H 7S ,    High Card
QC 7D JH 7C 5D 9S 10H ,    High Card
9D 9H 4C 4D JS 7D JC ,    Two Pair
10D 5D 8S 3H 2H 2D 10H ,    Pair
9C KH AH 7S JH 6S 7C ,    High Card
9C 3H 7D JC 8C 10H AC ,    High Card
10C AH KH 6H 2H 8C JH ,    High Card
2D QH 5S 2C 5C 7S 6D ,    High Card
6S 10D JC 9H 3D QC 4D ,    High Card
7D 9S JD AD 8D QS 10S ,    High Card
6S 8H 4H 10C 10D JD 7D ,    High Card
2C 2D AS 3D 8D 9C 6H ,    Pair
6D 5C 6C 3H QS JS JC ,    Two Pair
9D 2C JH 8S 5S 7H 9S ,    High Card
QS 2S 4S 10H 8C JC KH ,    High Card
QH 6H 3S 10D 7S KS 6D ,    High Card
3D JS AC 5H 5C 5D 6C ,    Pair
5C 3S 4D 9S 9H JC 2D ,    Pair
5D 7H 8D 4C QS KS 7S ,    High Card
QC 8C 7D 6D QD 7C AH ,    High Card
10H 5D 4C 3H 8S AS 7H ,    High Card
4H JH 9S 10S 7D 9H 6D ,    High Card
10D 9C 5C 7C KD QS AC ,    High Card
3C QH 4D 4S QD JD 2H ,    Pair
JD 4H 9S QC 10H 8C AH ,    High Card
9D 9H 2S 3H 6H 10D 4D ,    Pair
AD 6S AC 3S 7C 10C KS ,    Pair
5S KS AH 5C 10C AS 9C ,    High Card
6D KC JD 10D 6C QH QC ,    High Card
10H KD 8S 9S 8C 2D 9D ,    High Card
4C 6H 3S QS 3D 7H 2C ,    High Card
8D AS 4H 3H 6H 7C 3C ,    High Card
2H 3S 2C KS 4C AC QC ,    Pair
10H 2S 5C 5D QS 5H 10S ,    Pair
2C 9H 6D QC 4D KC 7C ,    High Card
8C 9C 7H 3H 8H QD 4C ,    High Card
7D 8D AD 6H 4H 9S 7S ,    High Card
6S AH 10C 8S 10D 3D 5C ,    High Card
10D 4C 10C QD QH 2D AC ,    Pair
KD 10S KC 3C 8S 3H 9S ,    Pair
JS JC JH 9H 4H 7D 5S ,    Three Kind
KH 6H 3C 4D JS 6D 2D ,    High Card
QD AS 9D QC JD KC 10C ,    High Card
7C AD 9H 6S 7D 9C KD ,    High Card
2S 8S 9S 5D AH AC 5H ,    Pair
8C AC 10D 8D 2D JD AH ,    Pair
7D 6S QS 5D QH 2C 3C ,    High Card
7C 6H 4D JH 10H 10C QC ,    High Card
JD 5S 4D 4S QC 5D 10D ,    Pair
JS 6C 3S AD 5H 7S 3H ,    High Card
6D 4H AS QH KD JC 8H ,    High Card
8S KC 9D 10C KH 6H KS ,    High Card
9S 7H KH KD 2S 10S 6S ,    Pair
2D 4D QC 7S 5S JC 8D ,    High Card
3C 10C 2H 10D 10H 4S AS ,    High Card
QC 3S 7H 10D 5C 3H 8C ,    High Card
KC 7H 5H JS JC QD KD ,    Pair
QH AS AC 4C 7D 6H JH ,    Pair
10C 8D AH 3S 7S 10D 4H ,    High Card
5D 8H 3D KS QS 9H 10H ,    High Card
2D QC 8D JH 6S 7D 7C ,    High Card
QH 9S 8C 8H 5H 6C 4C ,    Pair
KD JS 4S 5S 10C KC 10S ,    High Card
4S QC QS 8H 8D 10S 2D ,    Two Pair
3C QH 9D 9S 5C 5S 4C ,    Two Pair
AH AC 2H QD 2S 4D 9H ,    Pair
6H 7S 3H AD 6S 6D JD ,    Pair
JC 9S KD 6D 9C 4C AH ,    High Card
10H AS KC 7H 4D 3S 10S ,    High Card
4S AC 2C 2H QH 6S 8S ,    Pair
AS 3H AH 6H 4S 3C 9C ,    Pair
9D 4H KC 8S KH 6S AD ,    High Card
AC QC KD 2D 7D 4D 6C ,    High Card
JS QD 7S 5H QH 10S JH ,    High Card
2H QC AS 6H 4S 7C JC ,    High Card
10D QH 4C 9H 9D 5S 5D ,    Two Pair
KH 4D 3C AD 3H 3D 5H ,    Pair
3D 5H 4D 10D 9S 9C 6S ,    Pair
4S 7C 6H 7H 8H 8D 7D ,    Pair
10C JC 10S 9D 3H 4C JS ,    High Card
AH KH KD QD 2H 5D QS ,    Pair
3C 5D 7S 3D KD 9C 10S ,    High Card
KH 7C 10H JC 8S 7D 9S ,    High Card
JS 3S 6H KS JH AH AS ,    High Card
KH QH 10C 9S AS 10H 8D ,    High Card
8C 6D QS 7S 10D 3C 3S ,    High Card
5C 9H 7D JH KS 9D 5S ,    High Card
2S JS 7C 2C QD 7H QC ,    High Card
9H 9C 7S 4D KD 2C 10D ,    Pair
10H 3C 3D 3S 3H JH 7H ,    Three Kind
QH 2S 6S 10S JD 5H 7D ,    High Card
JH AS 4S 9H 4H 9D KS ,    High Card
6C 8H 9C AC JC 6D QD ,    High Card
7S AD JS 10S 10D 3H 8S ,    High Card
KH 2C QH 8D 6S 9S 7D ,    High Card
5D 2S JS 8D 2C 10S 4C ,    High Card
5C 9C KH QD 2D JD 5H ,    High Card
6C AH 10D 4S KC 7D 8C ,    High Card
3H JH 2H KC 7D 3C 5S ,    High Card
5C 5D AH 6H JD 9D KS ,    Pair
QD 10H 4D 6D 8D KH 4S ,    High Card
JC 6C 10D 4C 3D 6S 9S ,    High Card
6D 8D 8H 3H 2D 8C 6C ,    Pair
JC 10H 7S JS 6S 7H 2C ,    High Card
QD 10S 10D 5C KH 4C KC ,    High Card
JS 4C 3S QH 3C 10S QS ,    High Card
3D 2H QD 4C 9H 7H KS ,    High Card
8H 6S 7C 10C JH JC 6D ,    Pair
AC 8C 5H AD AH 2D 2C ,    Two Pair
3C JD 5S 5C 4D QC 9C ,    Pair
5D QH 5C 8D QD 4H QS ,    Pair
4C 5S 2H 8H 7D 8C 6D ,    Straight
9S 10H 9H 3C 10C AS 4D ,    Pair
6D JC KH 9S 3S 9C QS ,    High Card
JD 8S 6S 2C 7S 6H KD ,    High Card
8D 9H 4C 10D KC 3C 6C ,    High Card
4H 8H 7D 5H 8C 7C QC ,    High Card
8S 2C KC AH JS 5C JH ,    High Card
10D 3H QC 10H JC 9H 2H ,    High Card
9C 4C 6C 3S QH 9S 5H ,    High Card
4D QD 3C 6C 5H 7H 3H ,    Straight
4C QC 9S 8C 10C KD AC ,    High Card
7C 2D 9D 9H QH JD 5C ,    Pair
2H KS JC 8D JS 8S 2S ,    High Card
7S 8H KC 5H 10S 9D 6C ,    Straight
7D AD KS QH 2D 5C QS ,    High Card
10H 8S KH 4C 8D QD 5S ,    High Card
QC 5D 8D JD KD AS 10D ,    High Card
QS 3S 9D 5H 7H JC 4D ,    High Card
4S 8C 3D 2H 9C 9H 4H ,    Pair
5S 6S 2S JH 7D KS 5C ,    High Card
6H 5S 9C AC 5C 2H 5D ,    High Card
9H 7S 10C JC 3D 4S 5H ,    High Card
10H KC 2S 8H 10S KH 7H ,    High Card
3D QD 7S 3H JC QH 2S ,    High Card
JH AC QC 5C 3C AH KH ,    High Card
4C 3S 6H KS 5H 9H 10H ,    High Card
5D AS 4S 8S 2H JD 10D ,    High Card
5C JS 6S 6C QS 2S 10S ,    Pair
5D 6H JC JD 8D AC KH ,    Pair
7C QH QD KD 3H 2H 8H ,    Pair
6C 6S QD 4C 9D QS 7D ,    Pair
JC 2C 5H 10D 2H 10C 5C ,    High Card
JS 8H 4H 9C 8S 6H QH ,    High Card
AH 8D 5S 5D KS 3C 3D ,    Two Pair
8C 9H QH AS 3D 8D 4S ,    High Card
AC 3H 3C 4D 6D 2C QD ,    Pair
3S JD 2D KS 9S 10S 6S ,    High Card
QH 4D 2H 9D KD QS 10D ,    High Card
8C 10H KS 6C 6S AH AS ,    Two Pair
JS 8H 9C 2D 3H KH JH ,    High Card
JD 3D 10S 9H 8D 7H 2S ,    High Card
10S 9D QH AD 8D 5S 2D ,    High Card
8C JC 2H 2C 10C KD 8S ,    Pair
2S 8H 4D 6C JH 9C 3S ,    High Card
7C AH 10H 9H 6H 3C 4C ,    High Card
8D 7H 4C 9H 6S 3H 2D ,    High Card
AC AS 8S QC 4H 8C KD ,    Pair
4D 9C 10D 5C JC 7C KS ,    High Card
JS 2S 9S JD 5S 4S AD ,    Flush
5D 4D 9C JD KC QC 3S ,    High Card
4C 4S 7H 3C AS 5H 6S ,    Straight
4H 5C 9D 2C 10C AC JC ,    High Card
QC 3C KS 7C JH JD 4S ,    Pair
8S 4D 10D AH 6H 9H 8H ,    High Card
10H KD 5S 2C QH 5C 6S ,    High Card
10S 9C JS 5D 9S 3H 6C ,    High Card
4S 9S 8H AH 10H 8S JS ,    High Card
KD KC JH 3C AS 10C 5C ,    Pair
2H 9D 9H 5S 6H 3S 6C ,    Pair
10C 2H 10S 3D 4H JS 5D ,    High Card
QD JC QS 3C AD AH 9D ,    Two Pair
2S 8D 6C 3S JD 8C 10H ,    High Card
3H JH 5S AC KH 7S 9H ,    High Card
8C 7C 7S KD 4H QD JS ,    Pair
3S 10S 8D KC 9H 2C 10H ,    High Card
QC 3C 5D KH 3D AC 9D ,    High Card
JH 3C QH 9D QD 7D AC ,    High Card
QS AS 10D JD 6C 4S 3D ,    High Card
6S 10C JS 2C 8H 4H 2D ,    High Card
8D AD 8S AH KH 9H KD ,    Pair
JD 10C 9S 3S QH QD 5C ,    Pair
3C AH 6D QS 5H 7H 3H ,    High Card
5D 3D 8H 4C JS AC 7D ,    High Card
JC KD 7H JH 3C 10C 4S ,    High Card
10H 6S 9H KC 10D JD 2S ,    High Card
2D 3H 8C 8H 2C 2H 8D ,    Two Pair
6H 8S 7S 3D 9C AD 10S ,    High Card
8S 3C JS 9D 6H KS 7H ,    High Card
QD 6S 8C 2D 6C 2S AS ,    High Card
5C QH 10S 10D JD 4D 3S ,    High Card
JH 9S KD 4D 9D 8D 8S ,    High Card
9H 6C 9C AS QH JS 10D ,    Pair
8C 2D 5S 5H QD 5D QC ,    Pair
2S 10C JC 4H 4C 10H 8H ,    Pair
8S AD 8D 6C 9C 5S 6S ,    Pair
2H QD 2S 4H 3S 10C 9S ,    Pair
9D 4D 10D 6H 8H 6D 4S ,    High Card
2C 10H 2D 2S 6H 4D 7D ,    Pair
5C JD AD 7S 10S 3H 9S ,    High Card
3D AC 5S JS 10C 9H 3S ,    High Card
8H QH QS QD 8S KC JH ,    Pair
10H 7D JS AD 5D 8D 3C ,    High Card
2S JD 7S 5H QD 8S 8C ,    High Card
KS 5C 3D KH JC 4H AH ,    High Card
KS KD 6D 4D 8H JS 10C ,    Pair
6C 7D 4D 2D 4C JD AS ,    High Card
2C 5C 4H 4S 5D 3S 10H ,    Pair
7C 3H 2S AD 8H KD 8C ,    High Card
9D JS JH QC AC 6H QH ,    Pair
8C KS AS KH 5S 2D JS ,    High Card
9D 5C JD 9C KC 7S 10D ,    High Card
3S 10C 7C 8D AH 4D 3H ,    High Card
AH KH 9H AD JC 4H 9D ,    High Card
7S JH QH 2S KS 6H 10D ,    High Card
4S 3H 8D 5D 4C KD QC ,    High Card
KC 7D 8H 2C 9C 7H 2H ,    High Card
JS AC 8H 8D 9H 2D 6S ,    Pair
5H 2H 4C 9D 2S KH AH ,    High Card
AD 6H AS 4H 9C 4D 8C ,    Pair
7H 10H QH 10C 4D KS JS ,    High Card
5D 8D 3C QD 7D 5S QS ,    High Card
4S AS 9D 6D 6H AD 5H ,    Pair
JH 9H KD 6C 9S QC KH ,    High Card
6S QD 5C KD 5D 4D 4S ,    High Card
QS JH KH 9C 3C 8H 9S ,    High Card
6H JC 4H 5S 3D 5H 10C ,    High Card
AS 6D 4C KH 9C 5D 10S ,    High Card
2S 7C 5S 3H QD 4H JS ,    High Card
AD QS AC 6S 8S 9H QH ,    Pair
KD JD 8C 4D 10H 8D 9S ,    High Card
5S 6S JC 2H QH 10S QD ,    Pair
8H 7C 7S 10C 9D AD 2S ,    Pair
3S 4H 2C KH 8S 8D 5D ,    Pair
QH JH KS 9S KC 8D 8S ,    High Card
10S QD AD 7D 9C QC 2H ,    High Card
10H KD AC 6S 3C JS 2S ,    High Card
KH 6H 6D 3D 4C JD 3S ,    Pair
JC 3C 8H JD 4C 9S 7S ,    High Card
KD KS 10D 7C 9C 5H 6H ,    Pair
3H 10C 6S JS 5C AD KH ,    High Card
JS 9S JD 9D 7S 10S 3H ,    Pair
9C 6S 6D 8H 3C AC QH ,    Pair
10H AH 2D KD 5S QS 2S ,    High Card
8D 4S 7C 10C 8S 4H 7H ,    High Card
7H JH 10S 9D JS 8D QC ,    High Card
4H QD KD 10D 8H 5D 6H ,    High Card
7C KS AC 5C KC 5H 5S ,    High Card
4C QS 9S 6H JC 3D 8D ,    High Card
6D 8S 5H 3S 10D JD QC ,    High Card
2S 7C 8C 9C 6C 4S 8H ,    High Card
AS KC 6S 5S 5D QH 4H ,    Pair
AC 5C 8C 4D JS 10D AS ,    High Card
6C 4H KH 8H 3C 4C 4S ,    High Card
7D AH 9C 5D QC 9S QS ,    High Card
KC AH QD 9C 5S JD 2S ,    High Card
JS 2S 5H AC KC 6S 2H ,    High Card
QD 2D 2C 10H JD 9H 3C ,    Pair
3H 8H KH 4S 9D AH 8C ,    High Card
7S QC 6C 4H 7C 4D 7H ,    High Card
7C 6H 6S JS KD 8D QS ,    Pair
8C 8S 4H 2D JC QD AD ,    Pair
AS 7D 2C 9H AC 9D 9C ,    High Card
3D QD JH KS 10D 6D 10C ,    High Card
JS 8S 6S KH 9H 2D AD ,    High Card
7C 5S AS 10S QC JC 3S ,    High Card
2S 6C KD AC 5C QS 6H ,    High Card
5C AS 10C 10D KH 4S JH ,    High Card
8H 8S 4H 8D 3S 9C 2H ,    Pair
5S KC AH 7S 6D 6H 6S ,    Two Pair
QS 3D 3S 5D 9D 4C 8C ,    Pair
JS 3H KH 4D KS 2D 5H ,    High Card
7C 9H AD 6D KC 10C JD ,    High Card
7S 7D 8D 2S 10D 7H QC ,    Pair
9H 4C 7D JS KH JH 5H ,    High Card
2S JD 9S 5C KS KD 5S ,    Pair
4H 5D 6S 8S 2C KC QD ,    High Card
6C 3S KD 7D 7C 10D JC ,    Pair
KH 8D 6D JS JH JD 4C ,    Pair
QH QD 6S AD 7H QC 9C ,    Pair
5D 4H 3H KS AC 4D 5S ,    High Card
5C 8S 7D AH JS 4D QD ,    High Card
9H 6S 2S 5H 4C 2D 3C ,    Straight
AC 3D 10D AD 6D 6H 10H ,    Two Pair
QH 8D 10C AH 7D KD QC ,    High Card
2H 7H JH 5D 7C 4S JC ,    High Card
9D AC 3H 10D 2S 10H JD ,    High Card
8H 5H 5C 3S 9C 4D 9S ,    Pair
10H QD 3C 2C 9D KH 4S ,    High Card
9H JD 2S KS 7H AH KD ,    High Card
JC QC 2D 9S 3S 6H QS ,    High Card
6S JS 3D 9D 8C 5H 3S ,    High Card
6C AH KC 7D 7C 4S QS ,    Pair
KD AC 10D 9S AD 6H 6D ,    High Card
9C 2D QD 7H 8D QC 2H ,    High Card
KD 9D 8C 9H JS 8H 6D ,    High Card
7C 4D QD 3H JC KC KS ,    High Card
JH 6S 5D 10H 4C 2D 4H ,    High Card
AC 8H AD KH 9S 6C 10D ,    Pair
